,City Name,Latitude,Longitude,AQI,Carbon monoxide (CO),Nitric Oxide (NO),Nitrogen dioxide (NO2),Ozone (O3),Sulfur Dioxide (SO2),Particulates 2.5,Particulates 10,Ammonia (NH3)
0,New York,40.7128,-74.0059,2,520.71,32.19,28.45,0.0,3.22,14.19,20.84,1.39
1,Los Angeles,34.0522,-118.2437,4,907.9,72.42,69.92,0.0,5.72,28.31,47.76,9.88
2,Chicago,41.8781,-87.6298,1,347.14,0.34,31.19,16.81,4.59,7.75,11.57,0.71
3,Houston,29.7604,-95.3698,1,247.0,0.05,14.22,19.85,3.13,8.33,9.4,0.23
4,Philadelphia,39.9526,-75.1652,1,417.23,6.82,25.71,0.37,2.95,9.42,12.84,0.33
5,Phoenix,33.4484,-112.074,2,290.39,0.0,19.71,60.08,1.46,10.04,26.11,1.69
6,San Antonio,29.4241,-98.4936,1,290.39,0.04,11.14,16.99,0.29,8.01,11.18,0.46
7,San Diego,32.7157,-117.1611,5,1214.98,69.74,85.68,0.0,2.24,55.18,77.44,5.19
8,Dallas,32.7767,-96.797,1,283.72,0.09,17.14,26.11,0.83,8.24,11.34,0.34
9,San Jose,37.3382,-121.8863,2,520.71,18.11,50.72,0.12,1.73,14.63,22.58,6.71
10,Austin,30.2672,-97.7431,1,263.69,0.02,10.37,23.6,0.68,7.33,10.13,0.41
11,Indianapolis,39.7684,-86.1581,1,243.66,0.0,6.68,47.21,2.62,3.69,4.63,0.12
12,Jacksonville,30.3322,-81.6557,2,350.48,1.16,17.82,2.86,0.48,12.81,22.38,0.24
13,San Francisco,37.7749,-122.4194,2,467.3,8.72,58.26,0.68,5.25,10.16,18.05,3.29
14,Columbus,39.9612,-82.9988,1,327.11,0.98,20.91,5.63,1.04,7.62,9.02,0.46
15,Charlotte,35.2271,-80.8431,1,247.0,1.93,7.88,1.45,0.39,4.54,5.6,0.25
16,Fort Worth,32.7555,-97.3308,2,247.0,0.0,7.45,60.08,1.43,10.89,13.85,0.21
17,Detroit,42.3314,-83.0458,1,357.15,0.67,29.47,7.6,4.59,8.24,10.26,0.52
18,El Paso,31.7776,-106.4425,4,1054.76,14.19,57.58,0.22,6.91,30.5,64.2,6.14
19,Memphis,35.1495,-90.049,2,330.45,0.09,22.62,19.67,1.21,10.42,11.53,0.2
20,Seattle,47.6062,-122.3321,1,233.65,0.0,10.97,43.99,3.46,2.3,4.35,0.18
21,Denver,39.7392,-104.9903,3,660.9,13.75,82.94,0.24,4.71,24.36,28.94,4.12
22,Washington,38.9072,-77.0369,1,357.15,3.38,25.02,1.08,1.73,6.28,8.44,0.39
23,Boston,42.3601,-71.0589,1,387.19,3.97,31.53,0.69,2.59,6.89,7.71,0.35
24,Nashville-Davidson,36.1627,-86.7816,2,527.38,21.01,22.96,0.0,0.95,19.58,22.5,0.27
25,Baltimore,39.2904,-76.6122,1,360.49,3.63,26.05,0.64,2.0,6.48,9.47,0.61
26,Oklahoma City,35.4676,-97.5164,1,243.66,0.0,3.38,67.95,0.37,4.82,6.29,1.35
27,Louisville/Jefferson County,38.2527,-85.7585,2,393.87,9.61,23.99,0.03,3.07,12.49,15.64,0.2
28,Portland,45.5231,-122.6765,2,607.49,34.87,34.96,0.0,1.03,16.24,18.17,1.17
29,Las Vegas,36.1699,-115.1398,1,196.93,0.0,3.9,70.1,0.46,1.84,10.49,0.68
30,Milwaukee,43.0389,-87.9065,1,387.19,0.72,31.19,11.8,0.77,9.28,11.13,0.52
31,Albuquerque,35.0853,-106.6056,1,293.73,0.0,15.25,57.94,0.78,9.31,12.69,1.49
32,Tucson,32.2217,-110.9265,1,270.37,0.0,13.37,55.79,0.51,7.9,19.4,1.57
33,Fresno,36.7468,-119.7726,5,1014.71,62.59,42.84,0.0,0.91,54.43,63.17,5.26
34,Sacramento,38.5816,-121.4944,1,250.34,0.0,10.2,50.07,0.83,1.45,2.6,1.09
35,Long Beach,33.7701,-118.1937,1,337.12,0.05,38.73,37.19,5.07,4.62,13.15,2.44
36,Kansas City,39.0997,-94.5786,1,337.12,0.05,23.31,26.82,1.18,9.12,10.92,0.29
37,Mesa,33.4152,-111.8315,2,420.57,0.03,44.55,32.9,2.0,14.35,26.16,2.57
38,Virginia Beach,36.8529,-75.978,1,240.33,0.02,9.6,17.88,1.24,6.03,7.57,0.23
39,Atlanta,33.749,-84.388,2,337.12,2.93,19.54,1.35,0.75,10.9,14.98,0.3
40,Colorado Springs,38.8339,-104.8214,1,300.41,0.01,21.76,45.78,2.92,9.02,11.39,1.49
41,Omaha,41.2524,-95.998,1,320.44,0.04,14.57,32.9,1.01,4.62,5.28,2.03
42,Raleigh,35.7796,-78.6382,1,247.0,0.39,6.0,5.54,0.31,4.89,6.14,0.16
43,Miami,25.7617,-80.1918,2,226.97,0.0,14.4,60.8,1.25,5.78,21.39,0.59
44,Oakland,37.8044,-122.2711,1,310.42,0.04,26.05,33.62,2.62,4.1,7.29,1.79
45,Minneapolis,44.9778,-93.265,1,293.73,0.02,16.62,43.63,3.37,3.97,4.98,2.22
46,Tulsa,36.154,-95.9928,1,253.68,0.0,6.0,60.8,1.33,8.26,10.18,0.43
47,Cleveland,41.4993,-81.6944,1,300.41,0.03,16.28,26.11,1.79,5.15,6.57,0.39
48,Wichita,37.6889,-97.3361,1,240.33,0.0,5.83,46.49,0.49,3.95,9.75,0.54
49,Arlington,32.7357,-97.1081,2,250.34,0.0,10.2,51.5,1.51,10.56,13.46,0.25
50,New Orleans,29.9511,-90.0715,2,400.54,8.49,27.08,0.23,5.6,13.67,15.22,0.5
51,Bakersfield,35.3733,-119.0187,4,667.57,16.32,53.47,0.11,1.74,25.16,29.07,6.14
52,Tampa,27.9506,-82.4572,2,453.95,15.65,21.59,0.01,0.72,15.95,31.61,2.22
53,Honolulu,21.3069,-157.8583,1,183.58,0.0,1.52,74.39,0.34,5.3,12.57,0.04
54,Aurora,39.7294,-104.8319,2,560.76,2.21,87.05,3.4,5.96,18.47,22.29,3.23
55,Anaheim,33.8353,-117.9145,1,233.65,0.0,11.48,70.81,2.24,1.93,7.98,0.98
56,Santa Ana,33.7456,-117.8678,2,210.29,0.0,4.58,80.11,0.86,1.32,6.9,0.48
57,St. Louis,38.627,-90.1994,1,303.75,0.08,14.57,22.89,1.06,5.48,6.81,0.34
58,Riverside,33.9533,-117.3962,1,223.64,0.0,7.28,75.82,1.28,1.92,8.32,0.7
59,Corpus Christi,27.8006,-97.3964,1,178.58,0.0,1.33,43.63,0.81,5.83,13.29,0.0
